X,omega
6,0
37,0
13,0
45,0
1,0
57,0
84,0
20,0
54,0
55,0
79,0
97,0
2,0
54,0
88,0
33,0
39,0
71,0
87,0
12,0
26,0
13,0
60,0
33,0
12,0
86,0
62,0
64,0
66,0
91,0
81,0
16,0
77,0
15,0
75,0
40,0
34,0
98,0
62,0
36,0
57,0
41,0
97,0
45,0
22,0
30,0
18,0
96,0
76,0
96,0
66,0
95,0
21,0
66,0
65,0
86,0
64,0
77,0
76,0
45,0
85,0
54,0
47,0
47,0
87,0
44,0
23,0
5,0
21,0
47,0
69,0
11,0
37,0
55,0
40,0
18,0
62,0
95,0
33,0
97,0
65,0
54,0
75,0
73,0
4,0
83,0
49,0
32,0
83,0
70,0
7,0
64,0
79,0
56,0
31,0
73,0
33,0
54,0
94,0
84,0
75,0
100,0
94,0
78,0
25,0
8,0
55,0
25,0
93,0
69,0
6,0
26,0
43,0
54,0
79,0
70,0
67,0
21,0
47,0
58,0
66,0
33,0
57,0
88,0
63,0
2,0
24,0
72,0
85,0
50,0
90,0
72,0
59,0
34,0
8,0
42,0
53,0
62,0
43,0
3,0
51,0
35,0
38,0
23,0
29,0
52,0
55,0
61,0
25,0
3,0
97,0
10,0
31,0
40,0
55,0
84,0
50,0
22,0
83,0
52,0
17,0
36,0
35,0
63,0
7,0
61,0
94,0
5,0
76,0
64,0
49,0
85,0
78,0
95,0
89,0
88,0
64,0
98,0
69,0
12,0
44,0
77,0
63,0
79,0
34,0
53,0
25,0
92,0
48,0
90,0
71,0
44,0
90,0
18,0
34,0
90,0
18,0
8,0
87,0
15,0
55,0
17,0
59,0
98,0
3,0
93,0
37,0
53,0
89,0
35,0
82,0
100,0
43,0
11,0
100,0
28,0
51,0
13,0
86,0
4,0
38,0
18,0
78,0
47,0
68,0
95,0
78,0
10,0
48,0
42,0
54,0
94,0
64,0
84,0
63,0
1,0
69,0
93,0
90,0
51,0
84,0
81,0
42,0
51,0
35,0
1,0
43,0
42,0
27,0
5,0
12,0
38,0
58,0
7,0
42,0
21,0
90,0
27,0
28,0
58,0
66,0
29,0
93,0
12,0
16,0
88,0
98,0
59,0
64,0
32,0
23,0
32,0
54,0
37,0
5,0
87,0
37,0
32,0
87,0
48,0
24,0
68,0
98,0
22,0
92,0
15,0
45,0
76,0
73,0
23,0
21,0
65,0
31,0
10,0
94,0
99,0
65,0
82,0
54,0
47,0
55,0
27,0
6,0
53,0
97,0
50,0
85,0
55,0
71,0
86,0
87,0
96,0
50,0
78,0
69,0
80,0
13,0
67,0
6,0
37,0
24,0
84,0
97,0
2,0
68,0
40,0
68,0
76,0
43,0
4,0
53,0
53,0
98,0
77,0
87,0
18,0
79,0
